Product_Code,Warehouse,Product_Category,Date,Order_Demand
Product_1348,Whse_C,Category_019,2017-01-04,8000 
Product_1352,Whse_C,Category_019,2017-01-04,1000 
Product_1354,Whse_C,Category_019,2017-01-04,5000 
Product_1166,Whse_C,Category_006,2017-01-04,10000 
Product_1904,Whse_C,Category_019,2017-01-09,4000 
Product_1198,Whse_C,Category_019,2017-01-04,3000 
Product_1241,Whse_J,Category_019,2017-01-05,3000 
Product_1077,Whse_S,Category_020,2017-01-03,200 
Product_1355,Whse_J,Category_019,2017-01-05,1000 
Product_1408,Whse_J,Category_019,2017-01-06,1000 
Product_0931,Whse_J,Category_006,2017-01-05,30000 
Product_0933,Whse_J,Category_006,2017-01-05,30000 
Product_0202,Whse_C,Category_007,2017-01-03,200 
Product_1241,Whse_C,Category_019,2017-01-04,1000 
Product_0209,Whse_C,Category_007,2017-01-03,2000 
Product_0250,Whse_C,Category_007,2017-01-09,148 
Product_1342,Whse_C,Category_019,2017-01-04,1000 
Product_0471,Whse_C,Category_015,2017-01-09,30 
Product_0689,Whse_J,Category_011,2017-01-06,200 
Product_0689,Whse_J,Category_011,2017-01-06,300 
Product_1886,Whse_J,Category_007,2017-01-05,100 
Product_1926,Whse_J,Category_001,2017-01-06,2 
Product_1938,Whse_J,Category_001,2017-01-06,20 
Product_0025,Whse_J,Category_005,2017-01-06,500 
Product_1970,Whse_J,Category_005,2017-01-06,2000 
Product_0025,Whse_J,Category_005,2017-01-06,400 
Product_1970,Whse_J,Category_005,2017-01-06,2000 
Product_0025,Whse_J,Category_005,2017-01-06,700 
Product_0016,Whse_J,Category_005,2017-01-05,4000 
Product_1993,Whse_J,Category_005,2017-01-05,1000 
Product_1356,Whse_J,Category_019,2017-01-05,3000 
Product_1359,Whse_J,Category_019,2017-01-06,100000 
Product_1453,Whse_J,Category_019,2017-01-06,8000 
Product_1316,Whse_J,Category_019,2017-01-06,10000 
Product_1426,Whse_J,Category_019,2017-01-05,1500 
Product_1241,Whse_J,Category_019,2017-01-06,20000 
Product_1496,Whse_J,Category_019,2017-01-05,3000 
Product_1274,Whse_J,Category_019,2017-01-06,20000 
Product_1288,Whse_J,Category_019,2017-01-05,1000 
Product_1316,Whse_J,Category_019,2017-01-06,10000 
Product_1264,Whse_J,Category_019,2017-01-05,1000 
Product_1451,Whse_J,Category_019,2017-01-05,1000 
Product_1954,Whse_J,Category_001,2017-01-05,4 
Product_1954,Whse_J,Category_001,2017-01-06,3 
Product_0183,Whse_J,Category_007,2017-01-05,24 
Product_1271,Whse_J,Category_019,2017-01-05,1000 
Product_1351,Whse_J,Category_019,2017-01-05,2000 
Product_1397,Whse_J,Category_019,2017-01-05,1000 
Product_1231,Whse_J,Category_019,2017-01-05,300 
Product_0566,Whse_S,Category_012,2017-01-02,70 
Product_0991,Whse_J,Category_028,2017-01-04,250 
Product_1710,Whse_J,Category_026,2017-01-06,15 
Product_0332,Whse_J,Category_021,2017-01-05,1 
